Sample ID,Location,Sample Date,Matrix,Sample Depth ft bgs,Analyte,Result,Units,Reporting Limit,Qualifier,Latitude,Longitude,Groundwater Elevation ft,Depth to Water ft,Site Area,Analytical Method
MW-2-2023Q1-T,MW-2,2023-02-16,Groundwater,,Trichloroethene,8.71,ug/L,0.5,,35.47842,-97.51498,1171.04,13.18,Source,EPA 8260D
MW-2-2023Q1-T,MW-2,2023-02-16,Groundwater,,Tetrachloroethene,5.94,ug/L,0.5,,35.47842,-97.51498,1171.04,13.18,Source,EPA 8260D
MW-2-2023Q1-VC,MW-2,2023-02-16,Groundwater,,Vinyl chloride,1.67,ug/L,0.2,,35.47842,-97.51498,1171.04,13.18,Source,EPA 8260D
MW-2-2023Q1-A,MW-2,2023-02-16,Groundwater,,Arsenic,7.08,ug/L,1,,35.47842,-97.51498,1171.04,13.18,Source,EPA 6010D
MW-2-2023Q1-NAN,MW-2,2023-02-16,Groundwater,,Nitrate as N,3113,ug/L,50,,35.47842,-97.51498,1171.04,13.18,Source,EPA 300.0
MW-3-2023Q1-B,MW-3,2023-02-16,Groundwater,,Benzene,9.28,ug/L,0.5,,35.47883,-97.51421,1170.55,13.67,Mid-plume,EPA 8260D
MW-3-2023Q1-T,MW-3,2023-02-16,Groundwater,,Toluene,118,ug/L,1,,35.47883,-97.51421,1170.55,13.67,Mid-plume,EPA 8260D
MW-3-2023Q1-E,MW-3,2023-02-16,Groundwater,,Ethylbenzene,39.9,ug/L,1,B,35.47883,-97.51421,1170.55,13.67,Mid-plume,EPA 8260D
MW-3-2023Q1-X,MW-3,2023-02-16,Groundwater,,Xylenes,232,ug/L,2,B,35.47883,-97.51421,1170.55,13.67,Mid-plume,EPA 8260D
MW-3-2023Q1-T,MW-3,2023-02-16,Groundwater,,Trichloroethene,6.16,ug/L,0.5,,35.47883,-97.51421,1170.55,13.67,Mid-plume,EPA 8260D
MW-3-2023Q1-T,MW-3,2023-02-16,Groundwater,,Tetrachloroethene,4.64,ug/L,0.5,,35.47883,-97.51421,1170.55,13.67,Mid-plume,EPA 8260D
MW-3-2023Q1-VC,MW-3,2023-02-16,Groundwater,,Vinyl chloride,0.984,ug/L,0.2,,35.47883,-97.51421,1170.55,13.67,Mid-plume,EPA 8260D
MW-3-2023Q1-A,MW-3,2023-02-16,Groundwater,,Arsenic,4.05,ug/L,1,,35.47883,-97.51421,1170.55,13.67,Mid-plume,EPA 6010D
MW-3-2023Q1-NAN,MW-3,2023-02-16,Groundwater,,Nitrate as N,1762,ug/L,50,,35.47883,-97.51421,1170.55,13.67,Mid-plume,EPA 300.0
MW-4-2023Q1-B,MW-4,2023-02-16,Groundwater,,Benzene,5.32,ug/L,0.5,,35.47916,-97.51352,1170.18,14.04,Mid-plume,EPA 8260D
MW-4-2023Q1-T,MW-4,2023-02-16,Groundwater,,Toluene,90.9,ug/L,1,,35.47916,-97.51352,1170.18,14.04,Mid-plume,EPA 8260D
MW-4-2023Q1-E,MW-4,2023-02-16,Groundwater,,Ethylbenzene,26.3,ug/L,1,,35.47916,-97.51352,1170.18,14.04,Mid-plume,EPA 8260D
MW-4-2023Q1-X,MW-4,2023-02-16,Groundwater,,Xylenes,166,ug/L,2,,35.47916,-97.51352,1170.18,14.04,Mid-plume,EPA 8260D
MW-4-2023Q1-T,MW-4,2023-02-16,Groundwater,,Trichloroethene,3.33,ug/L,0.5,,35.47916,-97.51352,1170.18,14.04,Mid-plume,EPA 8260D
MW-4-2023Q1-T,MW-4,2023-02-16,Groundwater,,Tetrachloroethene,3.05,ug/L,0.5,,35.47916,-97.51352,1170.18,14.04,Mid-plume,EPA 8260D
MW-4-2023Q1-VC,MW-4,2023-02-16,Groundwater,,Vinyl chloride,0.664,ug/L,0.2,,35.47916,-97.51352,1170.18,14.04,Mid-plume,EPA 8260D
MW-4-2023Q1-A,MW-4,2023-02-16,Groundwater,,Arsenic,2.85,ug/L,1,J,35.47916,-97.51352,1170.18,14.04,Mid-plume,EPA 6010D
MW-4-2023Q1-NAN,MW-4,2023-02-16,Groundwater,,Nitrate as N,1464,ug/L,50,,35.47916,-97.51352,1170.18,14.04,Mid-plume,EPA 300.0
MW-5-2023Q1-B,MW-5,2023-02-16,Groundwater,,Benzene,3.03,ug/L,0.5,,35.47942,-97.51274,1169.89,14.33,Downgradient,EPA 8260D
MW-5-2023Q1-T,MW-5,2023-02-16,Groundwater,,Toluene,37.7,ug/L,1,,35.47942,-97.51274,1169.89,14.33,Downgradient,EPA 8260D
MW-5-2023Q1-E,MW-5,2023-02-16,Groundwater,,Ethylbenzene,9.04,ug/L,1,,35.47942,-97.51274,1169.89,14.33,Downgradient,EPA 8260D
MW-5-2023Q1-X,MW-5,2023-02-16,Groundwater,,Xylenes,82.0,ug/L,2,,35.47942,-97.51274,1169.89,14.33,Downgradient,EPA 8260D
MW-5-2023Q1-T,MW-5,2023-02-16,Groundwater,,Trichloroethene,1.84,ug/L,0.5,,35.47942,-97.51274,1169.89,14.33,Downgradient,EPA 8260D
MW-5-2023Q1-T,MW-5,2023-02-16,Groundwater,,Tetrachloroethene,1.36,ug/L,0.5,J,35.47942,-97.51274,1169.89,14.33,Downgradient,EPA 8260D
MW-5-2023Q1-VC,MW-5,2023-02-16,Groundwater,,Vinyl chloride,0.393,ug/L,0.2,J,35.47942,-97.51274,1169.89,14.33,Downgradient,EPA 8260D
MW-5-2023Q1-A,MW-5,2023-02-16,Groundwater,,Arsenic,1.49,ug/L,1,J,35.47942,-97.51274,1169.89,14.33,Downgradient,EPA 6010D
MW-5-2023Q1-NAN,MW-5,2023-02-16,Groundwater,,Nitrate as N,737,ug/L,50,,35.47942,-97.51274,1169.89,14.33,Downgradient,EPA 300.0
MW-6-2023Q1-B,MW-6,2023-02-16,Groundwater,,Benzene,0.524,ug/L,0.5,J,35.47788,-97.51633,1169.73,14.49,Upgradient,EPA 8260D
MW-6-2023Q1-T,MW-6,2023-02-16,Groundwater,,Toluene,31.2,ug/L,1,,35.47788,-97.51633,1169.73,14.49,Upgradient,EPA 8260D
MW-6-2023Q1-E,MW-6,2023-02-16,Groundwater,,Ethylbenzene,5.21,ug/L,1,,35.47788,-97.51633,1169.73,14.49,Upgradient,EPA 8260D
MW-6-2023Q1-X,MW-6,2023-02-16,Groundwater,,Xylenes,14.3,ug/L,2,,35.47788,-97.51633,1169.73,14.49,Upgradient,EPA 8260D
MW-6-2023Q1-T,MW-6,2023-02-16,Groundwater,,Trichloroethene,1.39,ug/L,0.5,J,35.47788,-97.51633,1169.73,14.49,Upgradient,EPA 8260D
MW-6-2023Q1-T,MW-6,2023-02-16,Groundwater,,Tetrachloroethene,1.19,ug/L,0.5,J,35.47788,-97.51633,1169.73,14.49,Upgradient,EPA 8260D
MW-6-2023Q1-VC,MW-6,2023-02-16,Groundwater,,Vinyl chloride,<0.2,ug/L,0.2,U,35.47788,-97.51633,1169.73,14.49,Upgradient,EPA 8260D
MW-6-2023Q1-A,MW-6,2023-02-16,Groundwater,,Arsenic,1.34,ug/L,1,J,35.47788,-97.51633,1169.73,14.49,Upgradient,EPA 6010D
MW-6-2023Q1-NAN,MW-6,2023-02-16,Groundwater,,Nitrate as N,299,ug/L,50,,35.47788,-97.51633,1169.73,14.49,Upgradient,EPA 300.0
MW-7-2023Q1-B,MW-7,2023-02-16,Groundwater,,Benzene,1.42,ug/L,0.5,J,35.48001,-97.51210,1169.78,14.44,Property boundary,EPA 8260D
MW-7-2023Q1-T,MW-7,2023-02-16,Groundwater,,Toluene,14.9,ug/L,1,,35.48001,-97.51210,1169.78,14.44,Property boundary,EPA 8260D
MW-7-2023Q1-E,MW-7,2023-02-16,Groundwater,,Ethylbenzene,4.36,ug/L,1,,35.48001,-97.51210,1169.78,14.44,Property boundary,EPA 8260D
MW-7-2023Q1-X,MW-7,2023-02-16,Groundwater,,Xylenes,81.2,ug/L,2,,35.48001,-97.51210,1169.78,14.44,Property boundary,EPA 8260D
MW-7-2023Q1-T,MW-7,2023-02-16,Groundwater,,Trichloroethene,1.67,ug/L,0.5,,35.48001,-97.51210,1169.78,14.44,Property boundary,EPA 8260D
MW-7-2023Q1-T,MW-7,2023-02-16,Groundwater,,Tetrachloroethene,<0.5,ug/L,0.5,U,35.48001,-97.51210,1169.78,14.44,Property boundary,EPA 8260D
MW-7-2023Q1-VC,MW-7,2023-02-16,Groundwater,,Vinyl chloride,0.257,ug/L,0.2,J,35.48001,-97.51210,1169.78,14.44,Property boundary,EPA 8260D
MW-7-2023Q1-A,MW-7,2023-02-16,Groundwater,,Arsenic,1.12,ug/L,1,J,35.48001,-97.51210,1169.78,14.44,Property boundary,EPA 6010D
MW-7-2023Q1-NAN,MW-7,2023-02-16,Groundwater,,Nitrate as N,720,ug/L,50,,35.48001,-97.51210,1169.78,14.44,Property boundary,EPA 300.0
MW-8-2023Q1-B,MW-8,2023-02-16,Groundwater,,Benzene,<0.5,ug/L,0.5,U,35.48044,-97.51142,1169.67,14.55,Offsite sentinel,EPA 8260D
MW-8-2023Q1-T,MW-8,2023-02-16,Groundwater,,Toluene,2.74,ug/L,1,J,35.48044,-97.51142,1169.67,14.55,Offsite sentinel,EPA 8260D
MW-8-2023Q1-E,MW-8,2023-02-16,Groundwater,,Ethylbenzene,4.68,ug/L,1,,35.48044,-97.51142,1169.67,14.55,Offsite sentinel,EPA 8260D
MW-8-2023Q1-X,MW-8,2023-02-16,Groundwater,,Xylenes,30.3,ug/L,2,,35.48044,-97.51142,1169.67,14.55,Offsite sentinel,EPA 8260D
MW-8-2023Q1-T,MW-8,2023-02-16,Groundwater,,Trichloroethene,<0.5,ug/L,0.5,U,35.48044,-97.51142,1169.67,14.55,Offsite sentinel,EPA 8260D
MW-8-2023Q1-T,MW-8,2023-02-16,Groundwater,,Tetrachloroethene,0.894,ug/L,0.5,J,35.48044,-97.51142,1169.67,14.55,Offsite sentinel,EPA 8260D
MW-8-2023Q1-VC,MW-8,2023-02-16,Groundwater,,Vinyl chloride,<0.2,ug/L,0.2,U,35.48044,-97.51142,1169.67,14.55,Offsite sentinel,EPA 8260D
MW-8-2023Q1-A,MW-8,2023-02-16,Groundwater,,Arsenic,<1,ug/L,1,U,35.48044,-97.51142,1169.67,14.55,Offsite sentinel,EPA 6010D
MW-8-2023Q1-NAN,MW-8,2023-02-16,Groundwater,,Nitrate as N,<50,ug/L,50,U,35.48044,-97.51142,1169.67,14.55,Offsite sentinel,EPA 300.0
MW-1-2023Q2-B,MW-1,2023-05-18,Groundwater,,Benzene,18.1,ug/L,0.5,,35.47821,-97.51566,1171.13,13.09,Source,EPA 8260D
MW-1-2023Q2-T,MW-1,2023-05-18,Groundwater,,Toluene,224,ug/L,1,,35.47821,-97.51566,1171.13,13.09,Source,EPA 8260D
MW-1-2023Q2-E,MW-1,2023-05-18,Groundwater,,Ethylbenzene,66.4,ug/L,1,,35.47821,-97.51566,1171.13,13.09,Source,EPA 8260D
MW-1-2023Q2-X,MW-1,2023-05-18,Groundwater,,Xylenes,429,ug/L,2,,35.47821,-97.51566,1171.13,13.09,Source,EPA 8260D
MW-1-2023Q2-T,MW-1,2023-05-18,Groundwater,,Trichloroethene,13.8,ug/L,0.5,,35.47821,-97.51566,1171.13,13.09,Source,EPA 8260D
MW-1-2023Q2-T,MW-1,2023-05-18,Groundwater,,Tetrachloroethene,8.71,ug/L,0.5,,35.47821,-97.51566,1171.13,13.09,Source,EPA 8260D
MW-1-2023Q2-VC,MW-1,2023-05-18,Groundwater,,Vinyl chloride,2.34,ug/L,0.2,,35.47821,-97.51566,1171.13,13.09,Source,EPA 8260D
MW-1-2023Q2-A,MW-1,2023-05-18,Groundwater,,Arsenic,9.52,ug/L,1,,35.47821,-97.51566,1171.13,13.09,Source,EPA 6010D
MW-1-2023Q2-NAN,MW-1,2023-05-18,Groundwater,,Nitrate as N,4292,ug/L,50,R,35.47821,-97.51566,1171.13,13.09,Source,EPA 300.0
MW-2-2023Q2-B,MW-2,2023-05-18,Groundwater,,Benzene,13.3,ug/L,0.5,,35.47842,-97.51498,1170.68,13.54,Source,EPA 8260D
MW-2-2023Q2-T,MW-2,2023-05-18,Groundwater,,Toluene,162,ug/L,1,,35.47842,-97.51498,1170.68,13.54,Source,EPA 8260D
MW-2-2023Q2-E,MW-2,2023-05-18,Groundwater,,Ethylbenzene,53.5,ug/L,1,,35.47842,-97.51498,1170.68,13.54,Source,EPA 8260D
MW-2-2023Q2-X,MW-2,2023-05-18,Groundwater,,Xylenes,315,ug/L,2,,35.47842,-97.51498,1170.68,13.54,Source,EPA 8260D
MW-2-2023Q2-T,MW-2,2023-05-18,Groundwater,,Trichloroethene,10.4,ug/L,0.5,,35.47842,-97.51498,1170.68,13.54,Source,EPA 8260D
MW-2-2023Q2-T,MW-2,2023-05-18,Groundwater,,Tetrachloroethene,6.45,ug/L,0.5,,35.47842,-97.51498,1170.68,13.54,Source,EPA 8260D
MW-2-2023Q2-VC,MW-2,2023-05-18,Groundwater,,Vinyl chloride,1.67,ug/L,0.2,,35.47842,-97.51498,1170.68,13.54,Source,EPA 8260D
MW-2-2023Q2-A,MW-2,2023-05-18,Groundwater,,Arsenic,7.62,ug/L,1,,35.47842,-97.51498,1170.68,13.54,Source,EPA 6010D
MW-2-2023Q2-NAN,MW-2,2023-05-18,Groundwater,,Nitrate as N,3124,ug/L,50,,35.47842,-97.51498,1170.68,13.54,Source,EPA 300.0
MW-3-2023Q2-B,MW-3,2023-05-18,Groundwater,,Benzene,9.39,ug/L,0.5,,35.47883,-97.51421,1170.19,14.03,Mid-plume,EPA 8260D
MW-3-2023Q2-T,MW-3,2023-05-18,Groundwater,,Toluene,128,ug/L,1,,35.47883,-97.51421,1170.19,14.03,Mid-plume,EPA 8260D
MW-3-2023Q2-E,MW-3,2023-05-18,Groundwater,,Ethylbenzene,33.5,ug/L,1,,35.47883,-97.51421,1170.19,14.03,Mid-plume,EPA 8260D
MW-3-2023Q2-X,MW-3,2023-05-18,Groundwater,,Xylenes,199,ug/L,2,,35.47883,-97.51421,1170.19,14.03,Mid-plume,EPA 8260D
MW-3-2023Q2-T,MW-3,2023-05-18,Groundwater,,Trichloroethene,6.32,ug/L,0.5,,35.47883,-97.51421,1170.19,14.03,Mid-plume,EPA 8260D
MW-3-2023Q2-T,MW-3,2023-05-18,Groundwater,,Tetrachloroethene,4.10,ug/L,0.5,,35.47883,-97.51421,1170.19,14.03,Mid-plume,EPA 8260D
MW-3-2023Q2-VC,MW-3,2023-05-18,Groundwater,,Vinyl chloride,1.21,ug/L,0.2,,35.47883,-97.51421,1170.19,14.03,Mid-plume,EPA 8260D
MW-3-2023Q2-A,MW-3,2023-05-18,Groundwater,,Arsenic,5.55,ug/L,1,,35.47883,-97.51421,1170.19,14.03,Mid-plume,EPA 6010D
MW-3-2023Q2-NAN,MW-3,2023-05-18,Groundwater,,Nitrate as N,2009,ug/L,50,,35.47883,-97.51421,1170.19,14.03,Mid-plume,EPA 300.0
MW-4-2023Q2-B,MW-4,2023-05-18,Groundwater,,Benzene,4.35,ug/L,0.5,,35.47916,-97.51352,1169.82,14.40,Mid-plume,EPA 8260D
MW-4-2023Q2-T,MW-4,2023-05-18,Groundwater,,Toluene,76.7,ug/L,1,,35.47916,-97.51352,1169.82,14.40,Mid-plume,EPA 8260D
MW-4-2023Q2-E,MW-4,2023-05-18,Groundwater,,Ethylbenzene,19.6,ug/L,1,R,35.47916,-97.51352,1169.82,14.40,Mid-plume,EPA 8260D
MW-4-2023Q2-X,MW-4,2023-05-18,Groundwater,,Xylenes,120,ug/L,2,,35.47916,-97.51352,1169.82,14.40,Mid-plume,EPA 8260D
MW-4-2023Q2-T,MW-4,2023-05-18,Groundwater,,Trichloroethene,3.51,ug/L,0.5,,35.47916,-97.51352,1169.82,14.40,Mid-plume,EPA 8260D
MW-4-2023Q2-T,MW-4,2023-05-18,Groundwater,,Tetrachloroethene,2.95,ug/L,0.5,R,35.47916,-97.51352,1169.82,14.40,Mid-plume,EPA 8260D
MW-4-2023Q2-VC,MW-4,2023-05-18,Groundwater,,Vinyl chloride,0.816,ug/L,0.2,,35.47916,-97.51352,1169.82,14.40,Mid-plume,EPA 8260D
MW-4-2023Q2-A,MW-4,2023-05-18,Groundwater,,Arsenic,2.97,ug/L,1,J,35.47916,-97.51352,1169.82,14.40,Mid-plume,EPA 6010D
MW-4-2023Q2-NAN,MW-4,2023-05-18,Groundwater,,Nitrate as N,1384,ug/L,50,,35.47916,-97.51352,1169.82,14.40,Mid-plume,EPA 300.0
MW-5-2023Q2-B,MW-5,2023-05-18,Groundwater,,Benzene,1.72,ug/L,0.5,,35.47942,-97.51274,1169.53,14.69,Downgradient,EPA 8260D
MW-5-2023Q2-T,MW-5,2023-05-18,Groundwater,,Toluene,27.3,ug/L,1,,35.47942,-97.51274,1169.53,14.69,Downgradient,EPA 8260D
MW-5-2023Q2-E,MW-5,2023-05-18,Groundwater,,Ethylbenzene,8.81,ug/L,1,,35.47942,-97.51274,1169.53,14.69,Downgradient,EPA 8260D
MW-5-2023Q2-X,MW-5,2023-05-18,Groundwater,,Xylenes,70.4,ug/L,2,,35.47942,-97.51274,1169.53,14.69,Downgradient,EPA 8260D
MW-5-2023Q2-T,MW-5,2023-05-18,Groundwater,,Trichloroethene,2.54,ug/L,0.5,,35.47942,-97.51274,1169.53,14.69,Downgradient,EPA 8260D
MW-5-2023Q2-T,MW-5,2023-05-18,Groundwater,,Tetrachloroethene,1.38,ug/L,0.5,J,35.47942,-97.51274,1169.53,14.69,Downgradient,EPA 8260D
MW-5-2023Q2-VC,MW-5,2023-05-18,Groundwater,,Vinyl chloride,0.398,ug/L,0.2,J,35.47942,-97.51274,1169.53,14.69,Downgradient,EPA 8260D
MW-5-2023Q2-A,MW-5,2023-05-18,Groundwater,,Arsenic,2.36,ug/L,1,J,35.47942,-97.51274,1169.53,14.69,Downgradient,EPA 6010D
MW-5-2023Q2-NAN,MW-5,2023-05-18,Groundwater,,Nitrate as N,795,ug/L,50,R,35.47942,-97.51274,1169.53,14.69,Downgradient,EPA 300.0
MW-6-2023Q2-B,MW-6,2023-05-18,Groundwater,,Benzene,2.75,ug/L,0.5,,35.47788,-97.51633,1169.37,14.85,Upgradient,EPA 8260D
MW-6-2023Q2-T,MW-6,2023-05-18,Groundwater,,Toluene,19.0,ug/L,1,,35.47788,-97.51633,1169.37,14.85,Upgradient,EPA 8260D
MW-6-2023Q2-E,MW-6,2023-05-18,Groundwater,,Ethylbenzene,9.22,ug/L,1,,35.47788,-97.51633,1169.37,14.85,Upgradient,EPA 8260D
MW-6-2023Q2-X,MW-6,2023-05-18,Groundwater,,Xylenes,5.95,ug/L,2,J,35.47788,-97.51633,1169.37,14.85,Upgradient,EPA 8260D
MW-6-2023Q2-T,MW-6,2023-05-18,Groundwater,,Trichloroethene,1.06,ug/L,0.5,J,35.47788,-97.51633,1169.37,14.85,Upgradient,EPA 8260D
MW-6-2023Q2-T,MW-6,2023-05-18,Groundwater,,Tetrachloroethene,0.780,ug/L,0.5,J,35.47788,-97.51633,1169.37,14.85,Upgradient,EPA 8260D
MW-6-2023Q2-VC,MW-6,2023-05-18,Groundwater,,Vinyl chloride,<0.2,ug/L,0.2,U,35.47788,-97.51633,1169.37,14.85,Upgradient,EPA 8260D
MW-6-2023Q2-A,MW-6,2023-05-18,Groundwater,,Arsenic,<1,ug/L,1,U,35.47788,-97.51633,1169.37,14.85,Upgradient,EPA 6010D
MW-6-2023Q2-NAN,MW-6,2023-05-18,Groundwater,,Nitrate as N,421,ug/L,50,,35.47788,-97.51633,1169.37,14.85,Upgradient,EPA 300.0
MW-7-2023Q2-B,MW-7,2023-05-18,Groundwater,,Benzene,1.46,ug/L,0.5,J,35.48001,-97.51210,1169.42,14.80,Property boundary,EPA 8260D
MW-7-2023Q2-T,MW-7,2023-05-18,Groundwater,,Toluene,38.4,ug/L,1,,35.48001,-97.51210,1169.42,14.80,Property boundary,EPA 8260D
MW-7-2023Q2-E,MW-7,2023-05-18,Groundwater,,Ethylbenzene,7.28,ug/L,1,,35.48001,-97.51210,1169.42,14.80,Property boundary,EPA 8260D
MW-7-2023Q2-X,MW-7,2023-05-18,Groundwater,,Xylenes,48.3,ug/L,2,,35.48001,-97.51210,1169.42,14.80,Property boundary,EPA 8260D
MW-7-2023Q2-T,MW-7,2023-05-18,Groundwater,,Trichloroethene,2.31,ug/L,0.5,,35.48001,-97.51210,1169.42,14.80,Property boundary,EPA 8260D
MW-7-2023Q2-T,MW-7,2023-05-18,Groundwater,,Tetrachloroethene,0.694,ug/L,0.5,J,35.48001,-97.51210,1169.42,14.80,Property boundary,EPA 8260D
MW-7-2023Q2-VC,MW-7,2023-05-18,Groundwater,,Vinyl chloride,<0.2,ug/L,0.2,U,35.48001,-97.51210,1169.42,14.80,Property boundary,EPA 8260D
MW-7-2023Q2-A,MW-7,2023-05-18,Groundwater,,Arsenic,1.64,ug/L,1,J,35.48001,-97.51210,1169.42,14.80,Property boundary,EPA 6010D
MW-7-2023Q2-NAN,MW-7,2023-05-18,Groundwater,,Nitrate as N,231,ug/L,50,,35.48001,-97.51210,1169.42,14.80,Property boundary,EPA 300.0
MW-8-2023Q2-B,MW-8,2023-05-18,Groundwater,,Benzene,1.02,ug/L,0.5,J,35.48044,-97.51142,1169.31,14.91,Offsite sentinel,EPA 8260D
MW-8-2023Q2-T,MW-8,2023-05-18,Groundwater,,Toluene,11.9,ug/L,1,,35.48044,-97.51142,1169.31,14.91,Offsite sentinel,EPA 8260D
MW-8-2023Q2-E,MW-8,2023-05-18,Groundwater,,Ethylbenzene,<1,ug/L,1,U,35.48044,-97.51142,1169.31,14.91,Offsite sentinel,EPA 8260D
MW-8-2023Q2-X,MW-8,2023-05-18,Groundwater,,Xylenes,<2,ug/L,2,U,35.48044,-97.51142,1169.31,14.91,Offsite sentinel,EPA 8260D
MW-8-2023Q2-T,MW-8,2023-05-18,Groundwater,,Trichloroethene,<0.5,ug/L,0.5,U,35.48044,-97.51142,1169.31,14.91,Offsite sentinel,EPA 8260D
MW-8-2023Q2-T,MW-8,2023-05-18,Groundwater,,Tetrachloroethene,0.713,ug/L,0.5,J,35.48044,-97.51142,1169.31,14.91,Offsite sentinel,EPA 8260D
MW-8-2023Q2-VC,MW-8,2023-05-18,Groundwater,,Vinyl chloride,0.210,ug/L,0.2,J,35.48044,-97.51142,1169.31,14.91,Offsite sentinel,EPA 8260D
MW-8-2023Q2-A,MW-8,2023-05-18,Groundwater,,Arsenic,<1,ug/L,1,U,35.48044,-97.51142,1169.31,14.91,Offsite sentinel,EPA 6010D
MW-8-2023Q2-NAN,MW-8,2023-05-18,Groundwater,,Nitrate as N,160,ug/L,50,,35.48044,-97.51142,1169.31,14.91,Offsite sentinel,EPA 300.0
MW-1-2023Q3-B,MW-1,2023-08-17,Groundwater,,Benzene,15.4,ug/L,0.5,,35.47821,-97.51566,1171.60,12.62,Source,EPA 8260D
MW-1-2023Q3-T,MW-1,2023-08-17,Groundwater,,Toluene,198,ug/L,1,,35.47821,-97.51566,1171.60,12.62,Source,EPA 8260D
MW-1-2023Q3-E,MW-1,2023-08-17,Groundwater,,Ethylbenzene,52.7,ug/L,1,,35.47821,-97.51566,1171.60,12.62,Source,EPA 8260D
MW-1-2023Q3-X,MW-1,2023-08-17,Groundwater,,Xylenes,380,ug/L,2,,35.47821,-97.51566,1171.60,12.62,Source,EPA 8260D
MW-1-2023Q3-T,MW-1,2023-08-17,Groundwater,,Trichloroethene,12.6,ug/L,0.5,,35.47821,-97.51566,1171.60,12.62,Source,EPA 8260D
MW-1-2023Q3-T,MW-1,2023-08-17,Groundwater,,Tetrachloroethene,7.74,ug/L,0.5,,35.47821,-97.51566,1171.60,12.62,Source,EPA 8260D
MW-1-2023Q3-VC,MW-1,2023-08-17,Groundwater,,Vinyl chloride,2.17,ug/L,0.2,,35.47821,-97.51566,1171.60,12.62,Source,EPA 8260D
MW-1-2023Q3-A,MW-1,2023-08-17,Groundwater,,Arsenic,9.44,ug/L,1,,35.47821,-97.51566,1171.60,12.62,Source,EPA 6010D
MW-1-2023Q3-NAN,MW-1,2023-08-17,Groundwater,,Nitrate as N,3814,ug/L,50,,35.47821,-97.51566,1171.60,12.62,Source,EPA 300.0
MW-2-2023Q3-B,MW-2,2023-08-17,Groundwater,,Benzene,11.0,ug/L,0.5,,35.47842,-97.51498,1171.15,13.07,Source,EPA 8260D
MW-2-2023Q3-T,MW-2,2023-08-17,Groundwater,,Toluene,140,ug/L,1,,35.47842,-97.51498,1171.15,13.07,Source,EPA 8260D
MW-2-2023Q3-E,MW-2,2023-08-17,Groundwater,,Ethylbenzene,41.4,ug/L,1,,35.47842,-97.51498,1171.15,13.07,Source,EPA 8260D
MW-2-2023Q3-X,MW-2,2023-08-17,Groundwater,,Xylenes,317,ug/L,2,,35.47842,-97.51498,1171.15,13.07,Source,EPA 8260D
MW-2-2023Q3-T,MW-2,2023-08-17,Groundwater,,Trichloroethene,9.44,ug/L,0.5,,35.47842,-97.51498,1171.15,13.07,Source,EPA 8260D
MW-2-2023Q3-T,MW-2,2023-08-17,Groundwater,,Tetrachloroethene,5.65,ug/L,0.5,,35.47842,-97.51498,1171.15,13.07,Source,EPA 8260D
MW-2-2023Q3-VC,MW-2,2023-08-17,Groundwater,,Vinyl chloride,1.55,ug/L,0.2,,35.47842,-97.51498,1171.15,13.07,Source,EPA 8260D
